Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,3348PEACHT-001,2307.40,2011
,GEORGIA STATE UNIVERSITY,@XICOMPUTE-001,25995.42,2011
,GEORGIA STATE UNIVERSITY,A&DPAINTIN-001,14800.00,2011
,GEORGIA STATE UNIVERSITY,AAAAUTOCLU-002,1237.00,2011
,GEORGIA STATE UNIVERSITY,ABERCROMBI-013,6000.01,2011
,GEORGIA STATE UNIVERSITY,ACADEMICSO-002,2499.00,2011
,GEORGIA STATE UNIVERSITY,ACADEMICSU-001,559.35,2011
,GEORGIA STATE UNIVERSITY,ACOUSTIENG-001,10360.00,2011
,GEORGIA STATE UNIVERSITY,ACT-001,90060.30,2011
,GEORGIA STATE UNIVERSITY,ACTIVEPOWE-001,5143.73,2011
,GEORGIA STATE UNIVERSITY,ACTSERVICE-001,5592.00,2011
,GEORGIA STATE UNIVERSITY,ADVENT-001,928.00,2011
,GEORGIA STATE UNIVERSITY,AFAPROTECT-001,63297.00,2011
,GEORGIA STATE UNIVERSITY,AFFILIATED-001,5046.73,2011
,GEORGIA STATE UNIVERSITY,"AGARWAL,VI-001",1710.01,2011
,GEORGIA STATE UNIVERSITY,AGILENTTEC-002,47001.88,2011
,GEORGIA STATE UNIVERSITY,AGNESSCOTT-001,33925.73,2011
,GEORGIA STATE UNIVERSITY,"AHOLOU,TIF-001",5000.00,2011
,GEORGIA STATE UNIVERSITY,"AILION,ALY-001",349.40,2011
,GEORGIA STATE UNIVERSITY,AKINFORDCO-001,88087.00,2011
,GEORGIA STATE UNIVERSITY,"AKINYELA,M-001",400.00,2011
,GEORGIA STATE UNIVERSITY,ALASCIENTI-001,456.00,2011
,GEORGIA STATE UNIVERSITY,ALBANYSTAT-003,7000.00,2011
,GEORGIA STATE UNIVERSITY,ALBIONSCAC-001,606053.50,2011
,GEORGIA STATE UNIVERSITY,ALLANVIGIL-001,51385.00,2011
,GEORGIA STATE UNIVERSITY,"ALLEN,ALYS-001",675.00,2011
,GEORGIA STATE UNIVERSITY,"ALLEN,DEBO-001",266.40,2011
,GEORGIA STATE UNIVERSITY,ALLSEATING-002,79329.32,2011
,GEORGIA STATE UNIVERSITY,"AMIN,SHEET-001",200.00,2011
,GEORGIA STATE UNIVERSITY,AMPINSTRUM-001,4960.00,2011
,GEORGIA STATE UNIVERSITY,ANACHEMCOR-001,3691.05,2011
,GEORGIA STATE UNIVERSITY,"ANCIS,JULI-001",1043.24,2011
,GEORGIA STATE UNIVERSITY,APPLEBERRY-001,765.00,2011
,GEORGIA STATE UNIVERSITY,APPLEINC-001,380861.70,2011
,GEORGIA STATE UNIVERSITY,APPLEINC-002,161654.50,2011
,GEORGIA STATE UNIVERSITY,APPLIEDBIO-003,54658.00,2011
,GEORGIA STATE UNIVERSITY,APPLIEDPHO-001,11550.00,2011
,GEORGIA STATE UNIVERSITY,APPLIEDROB-001,0.32,2011
,GEORGIA STATE UNIVERSITY,APPROINT-001,106253.00,2011
,GEORGIA STATE UNIVERSITY,ARCHITECT-001,111717.00,2011
,GEORGIA STATE UNIVERSITY,ARCSIGHTIN-001,36004.00,2011
,GEORGIA STATE UNIVERSITY,"ARI,ARZU-003",207.35,2011
,GEORGIA STATE UNIVERSITY,ARISTOTLEC-001,2981.91,2011
,GEORGIA STATE UNIVERSITY,ARMSTRONGA-002,250.00,2011
,GEORGIA STATE UNIVERSITY,"ARNOLD,CHE-001",933.40,2011
,GEORGIA STATE UNIVERSITY,ASSOCIATED-008,2750.00,2011
,GEORGIA STATE UNIVERSITY,ATLANTACRE-002,1500.00,2011
,GEORGIA STATE UNIVERSITY,ATLANTAPUB-004,82052.40,2011
,GEORGIA STATE UNIVERSITY,ATLANTARIG-001,16397.33,2011
,GEORGIA STATE UNIVERSITY,AUDIOVISUA-004,60376.56,2011
,GEORGIA STATE UNIVERSITY,AURANMEDIA-001,39875.00,2011
,GEORGIA STATE UNIVERSITY,AUSTINKE-001,14768.91,2011
,GEORGIA STATE UNIVERSITY,AVAYAINC-001,799.32,2011
,GEORGIA STATE UNIVERSITY,B&HPHOTOVI-001,9153.30,2011
,GEORGIA STATE UNIVERSITY,"BAGGETT,AN-001",155.00,2011
,GEORGIA STATE UNIVERSITY,BAILEYPOTT-001,17.50,2011
,GEORGIA STATE UNIVERSITY,BAKERDIANN-001,8500.01,2011
,GEORGIA STATE UNIVERSITY,BAKERINTER-001,204209.06,2011
,GEORGIA STATE UNIVERSITY,BAKERPAINT-001,9659.00,2011
,GEORGIA STATE UNIVERSITY,BAOSTEELGR-001,0.01,2011
,GEORGIA STATE UNIVERSITY,"BARNES,MON-001",23.04,2011
,GEORGIA STATE UNIVERSITY,BARNESCHER-001,675.00,2011
,GEORGIA STATE UNIVERSITY,"BARRETT,JE-001",1151.82,2011
,GEORGIA STATE UNIVERSITY,BARRETTWOO-001,4280.00,2011
,GEORGIA STATE UNIVERSITY,BARTIMAUES-001,22073.86,2011
,GEORGIA STATE UNIVERSITY,"BARTNESS,T-001",7176.00,2011
,GEORGIA STATE UNIVERSITY,BARTONMAL-002,1592824.26,2011
,GEORGIA STATE UNIVERSITY,BASICSERVI-001,260.00,2011
,GEORGIA STATE UNIVERSITY,BASKERVILL-001,500.00,2011
,GEORGIA STATE UNIVERSITY,"BASSETT,JA-001",630.00,2011
